Project,Rule,Failed Control
eplus-cgr-ide-03-70b2,gke-eplus-chgr-private-cluster-09be4617-all,tcp:all ports
eplus-cgr-ide-03-70b2,gke-eplus-chgr-private-cluster-09be4617-all,udp:all ports
eplus-cgr-ide-03-70b2,gke-eplus-chgr-private-cluster-09be4617-vms,ip_range: 0.0.0.0
eplus-cgr-ide-03-70b2,gke-eplus-chgr-private-cluster-09be4617-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
eplus-cgr-ide-03-70b2,gke-eplus-chgr-private-cluster-09be4617-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
eplus-cgr-ide-03-70b2,k8s-e956b49bb5d92e89-node-http-hc,public target: 130.211.0.0/22
eplus-cgr-ide-03-70b2,k8s-e956b49bb5d92e89-node-http-hc,public target: 35.191.0.0/16
eplus-cgr-ide-03-70b2,k8s-e956b49bb5d92e89-node-http-hc,public target: 209.85.152.0/22
eplus-cgr-ide-03-70b2,k8s-e956b49bb5d92e89-node-http-hc,public target: 209.85.204.0/22
eplus-cgr-ide-03-70b2,k8s-fw-a84758148cc3f11ea9ed34201ac10000,ip_range: 0.0.0.0
eplus-cgr-ide-03-70b2,k8s-fw-a84758148cc3f11ea9ed34201ac10000,bad port(s) found: ['tcp:80']
eplus-cgr-ide-03-70b2,k8s-fw-a9bb2eb23cc3f11ea9ed34201ac10000,ip_range: 0.0.0.0
eplus-mgf-ide-03-6601,a2935c482cc1011ea96fe42010a9a00d,ip_range: 0.0.0.0
eplus-mgf-ide-03-6601,a2935c482cc1011ea96fe42010a9a00d,bad port(s) found: ['tcp:80']
eplus-mgf-ide-03-6601,eplus-mgf-ide-vpc-kcl-rule,ip_range: 0.0.0.0
eplus-mgf-ide-03-6601,eplus-mgf-ide-vpc-kcl-rule,bad port(s) found: ['tcp:80']
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-all,udp:all ports
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-all,tcp:all ports
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-ssh,public target: 35.246.47.144/32
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-ssh,public target: 35.242.162.194/32
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-ssh,public target: 35.246.115.41/32
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-ssh,bad port(s) found: ['tcp:22']
eplus-mgf-ide-03-6601,gke-eplus-mgf-ide-gke-cluster-96dac624-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
